name,aliases,note,birth_label,birth_calendar_era,birth_start_year,birth_end_year,birth_is_approximate,death_label,death_calendar_era,death_start_year,death_end_year,death_is_approximate,regions,religions,sects,periods
モリエール,Molière,Pantheon職業: Writer / 出生国: France / 出生地: Paris,,CE,1622,,false,,CE,1673,,false,,,,
エイダ・ラブレス,Ada Lovelace,Pantheon職業: Mathematician / 出生国: United Kingdom / 出生地: London,,CE,1815,,false,,CE,1852,,false,,,,
ジェームズ・ポーク,James K. Polk,"Pantheon職業: Politician / 出生国: United States / 出生地: Pineville, North Carolina",,CE,1795,,false,,CE,1849,,false,,,,
ウィリアム3世 (イングランド王),William III of England,Pantheon職業: Politician / 出生国: Netherlands / 出生地: Binnenhof,,CE,1650,,false,,CE,1702,,false,,,,
フランツ・シューベルト,Franz Schubert,Pantheon職業: Composer / 出生国: Austria / 出生地: Alsergrund,,CE,1797,,false,,CE,1828,,false,,,,
アッシジのフランチェスコ,Francis of Assisi,Pantheon職業: Religious Figure / 出生国: Italy / 出生地: Perugia,,CE,1182,,false,,CE,1226,,false,,,,
ジェームズ2世 (イングランド王),James II of England,Pantheon職業: Politician / 出生国: United Kingdom / 出生地: St James's Palace,,CE,1633,,false,,CE,1701,,false,,,,
ピウス12世,Pius XII,Pantheon職業: Religious Figure / 出生国: Italy / 出生地: Rome,,CE,1876,,false,,CE,1958,,false,,,,
グナエウス・ポンペイウス,Pompey,Pantheon職業: Politician / 出生国: Italy / 出生地: Roman Italy,,BCE,106,,false,,BCE,48,,false,,,,
ダレイオス1世,Darius I,Pantheon職業: Politician / 出生国: Georgia / 出生地: Caucasus,,BCE,550,,false,,BCE,486,,false,,,,
ミハイル・ゴルバチョフ,Mikhail Gorbachev,"Pantheon職業: Politician / 出生国: Russia / 出生地: Privolnoye, Stavropol Krai",,CE,1931,,false,,CE,2022,,false,,,,
ミゲル・デ・セルバンテス,Miguel de Cervantes,Pantheon職業: Writer / 出生国: Spain / 出生地: Alcalá de Henares,,CE,1547,,false,,CE,1616,,false,,,,
レオンハルト・オイラー,Leonhard Euler,Pantheon職業: Mathematician / 出生国: Switzerland / 出生地: Basel,,CE,1707,,false,,CE,1783,,false,,,,
金正日,Kim Jong-il,"Pantheon職業: Politician / 出生国: Russia / 出生地: Vyatskoye, Khabarovsk Krai",,CE,1941,,false,,CE,2011,,false,,,,
ボブ・マーリー,Bob Marley,"Pantheon職業: Musician / 出生国: Jamaica / 出生地: Nine Mile, Jamaica",,CE,1945,,false,,CE,1981,,false,,,,
ミケランジェロ・メリージ・ダ・カラヴァッジオ,Caravaggio,Pantheon職業: Painter / 出生国: Italy / 出生地: Milan,,CE,1571,,false,,CE,1610,,false,,,,
エルヴィス・プレスリー,Elvis Presley,"Pantheon職業: Singer / 出生国: United States / 出生地: Tupelo, Mississippi",,CE,1935,,false,,CE,1977,,false,,,,
ゲオルギオス,Saint George,Pantheon職業: Religious Figure / 出生国: Türkiye / 出生地: Cappadocia (Roman province),,CE,280,,false,,CE,303,,false,,,,
ピウス9世,Pius IX,Pantheon職業: Religious Figure / 出生国: Italy / 出生地: Senigallia,,CE,1792,,false,,CE,1878,,false,,,,
アルトゥル・ショーペンハウアー,Arthur Schopenhauer,Pantheon職業: Philosopher / 出生国: Poland / 出生地: Gdańsk,,CE,1788,,false,,CE,1860,,false,,,,
カール5世 (神聖ローマ皇帝),Charles V,Pantheon職業: Politician / 出生国: Belgium / 出生地: Prinsenhof (Ghent),,CE,1500,,false,,CE,1558,,false,,,,
シャルル・ド・モンテスキュー,Montesquieu,Pantheon職業: Philosopher / 出生国: France / 出生地: Château de la Brède,,CE,1689,,false,,CE,1755,,false,,,,
アッティラ,Attila,Pantheon職業: Politician / 出生国: Georgia / 出生地: Caucasus,,CE,406,,false,,CE,453,,false,,,,
マリア・テレジア,Maria Theresa of Austria,Pantheon職業: Politician / 出生国: Austria / 出生地: Vienna,,CE,1717,,false,,CE,1780,,false,,,,
マリー・アントワネット,Marie Antoinette,Pantheon職業: Nobleman / 出生国: Austria / 出生地: Hofburg,,CE,1755,,false,,CE,1793,,false,,,,
フランシスコ・デ・ゴヤ,Francisco Goya,Pantheon職業: Painter / 出生国: Spain,,CE,1746,,false,,CE,1828,,false,,,,
オスマン1世,Osman I,Pantheon職業: Politician / 出生国: Türkiye / 出生地: Söğüt,,CE,1254,,false,,CE,1327,,false,,,,
